price,mileage,tax,mpg,engineSize,car_age,model_freq,brand_BMW,brand_Mercedes,brand_VW,transmission_Manual,transmission_Semi-Auto,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
19812.0,21455,145,47.9,2.0,9,140,False,True,False,False,True,False,False,True
19500.0,37000,300,37.7,3.0,13,260,True,False,False,False,False,False,False,False
22485.0,38421,205,47.1,2.0,10,478,False,False,False,False,True,False,False,False
9790.0,37000,20,60.1,1.2,8,1701,False,False,True,True,False,False,False,True
18500.0,17418,145,62.8,2.0,8,734,False,False,False,False,False,False,False,False
24990.0,6668,145,58.9,2.1,8,1966,False,True,False,False,False,False,False,False
18450.0,23075,145,46.3,2.1,7,101,False,True,False,True,False,False,False,False
16991.0,32857,30,64.2,2.0,9,1323,True,False,False,False,True,False,False,False
25989.0,2997,145,44.1,1.5,6,1966,False,True,False,False,False,False,False,True
26972.0,123,145,38.7,2.0,6,143,True,False,False,False,False,False,False,True
20950.0,6418,145,47.9,2.0,6,668,True,False,False,False,True,False,False,True
15275.0,67889,0,76.4,2.1,10,1966,False,True,False,False,False,True,False,False
9998.0,34837,30,64.2,1.8,12,313,False,True,False,False,True,False,False,False
32199.0,9351,145,42.2,2.1,6,497,False,True,False,False,True,False,False,False
14022.0,72820,0,134.5,2.0,9,1323,True,False,False,False,False,True,False,False
20799.0,13356,145,61.4,2.0,6,1966,False,True,False,False,True,False,False,False
31000.0,3119,145,38.2,2.0,6,478,False,False,False,False,True,False,False,False
42781.0,4123,145,40.9,2.0,5,497,False,True,False,False,True,False,False,False
30790.0,14727,160,48.7,3.0,9,217,False,False,False,False,True,False,False,False
25999.0,4575,145,60.1,2.0,6,420,True,False,False,False,True,False,False,False
11999.0,81459,145,55.4,2.0,12,382,False,False,False,False,False,False,False,False
9740.0,34070,150,74.3,1.4,8,1701,False,False,True,True,False,False,False,False
19995.0,13299,145,44.1,1.5,6,486,False,False,True,True,False,False,False,True
16990.0,43395,160,50.4,2.0,10,750,False,False,False,False,True,False,False,False
15990.0,43000,200,39.8,2.0,10,2532,False,False,True,True,False,False,False,True
11691.0,77445,145,70.6,1.6,8,486,False,False,True,False,True,False,False,False
